date,river_discharge,river_discharge_max,river_discharge_mean,latitude,longitude
2025-11-01,0.42889392,0.42889392,0.428894,-30.02499771118164,-51.22499084472656
2025-11-02,0.2882495,3.3853073,0.37935123,-30.02499771118164,-51.22499084472656
2025-11-03,2.250873,5.591739,1.8840791,-30.02499771118164,-51.22499084472656
2025-11-04,0.8749945,1.6242185,0.759025,-30.02499771118164,-51.22499084472656
2025-11-05,0.44543982,1.1928048,0.438511,-30.02499771118164,-51.22499084472656
2025-11-06,0.2882495,3.7315125,0.6171481,-30.02499771118164,-51.22499084472656
2025-11-07,11.941958,25.485,11.056521,-30.02499771118164,-51.22499084472656
2025-11-08,2.9719152,8.727471,3.9048977,-30.02499771118164,-51.22499084472656
2025-11-09,1.2335722,2.5974934,1.447222,-30.02499771118164,-51.22499084472656
2025-11-10,1.1086283,3.073803,0.84733987,-30.02499771118164,-51.22499084472656
2025-11-11,0.67880404,3.4668355,0.6302918,-30.02499771118164,-51.22499084472656
2025-11-12,0.47570658,5.0534086,0.68679464,-30.02499771118164,-51.22499084472656
2025-11-13,0.36772883,3.8194785,0.69939333,-30.02499771118164,-51.22499084472656
2025-11-14,0.46217716,7.51138,1.1474371,-30.02499771118164,-51.22499084472656
2025-11-15,0.34276497,6.691304,0.9868249,-30.02499771118164,-51.22499084472656
2025-11-16,1.8054338,3.6451526,0.64751667,-30.02499771118164,-51.22499084472656
