date,river_discharge_x,river_discharge_max,river_discharge_mean,latitude,longitude,p1_mm,p6_mm,pp_max,sm_mean,et24_mm,p1_pct,p6_pct,pp_unit,sm_norm,et_deficit,river_discharge_y,rd_norm,H_score
2025-11-01,0.42889392,0.42889392,0.428894,-30.02499771118164,-51.22499084472656,,,,,,,,,,,,,
2025-11-02,0.2882495,3.3853073,0.37935123,-30.02499771118164,-51.22499084472656,0.5,0.5,0.5799999833106995,,2.640000104904175,0.8125,0.5625,0.5799999833106995,,0.6719999790191651,0.2882495,0.125,0.5543529377264135
2025-11-03,2.250873,5.591739,1.8840791,-30.02499771118164,-51.22499084472656,3.0999999046325684,6.899999871850014,0.550000011920929,,2.200000047683716,0.9375,0.9375,0.550000011920929,,0.7599999904632568,2.250873,0.875,0.8864705878145556
2025-11-04,0.8749945,1.6242185,0.759025,-30.02499771118164,-51.22499084472656,0.10000000149011612,0.10000000149011612,0.0,,3.130000114440918,0.5,0.4375,0.0,,0.5739999771118164,0.8749945,0.625,0.45723529142491964
2025-11-05,0.44543982,1.1928048,0.438511,-30.02499771118164,-51.22499084472656,0.0,0.0,0.07999999821186066,,3.489999771118164,0.4375,0.375,0.07999999821186066,,0.5020000457763671,0.44543982,0.375,0.37994118175085856
2025-11-06,0.2882495,3.7315125,0.6171481,-30.02499771118164,-51.22499084472656,0.0,0.0,0.20999999344348907,,4.039999961853027,0.4375,0.375,0.20999999344348907,,0.3920000076293946,0.2882495,0.125,0.3452352946295458
2025-11-07,11.941958,25.485,11.056521,-30.02499771118164,-51.22499084472656,11.600000381469727,56.70000171661377,0.9300000071525574,,1.9500000476837158,1.0,1.0,0.9300000071525574,,0.8099999904632569,11.941958,1.0,0.9735294110634748
2025-11-08,2.9719152,8.727471,3.9048977,-30.02499771118164,-51.22499084472656,0.20000000298023224,1.2000000178813934,0.8700000047683716,,4.130000114440918,0.75,0.8125,0.8700000047683716,,0.37399997711181643,2.9719152,0.9375,0.7716470564112944
2025-11-09,1.2335722,2.5974934,1.447222,-30.02499771118164,-51.22499084472656,0.0,0.30000000447034836,0.17000000178813934,,0.8400000333786011,0.4375,0.5,0.17000000178813934,,1.0,1.2335722,0.75,0.5614705883404788
2025-11-10,1.1086283,3.073803,0.84733987,-30.02499771118164,-51.22499084472656,0.0,0.0,0.12999999523162842,,0.0,0.4375,0.375,0.12999999523162842,,1.0,1.1086283,0.6875,0.47823529383715463
2025-11-11,0.67880404,3.4668355,0.6302918,-30.02499771118164,-51.22499084472656,0.0,0.0,0.20000000298023224,,0.0,0.4375,0.375,0.20000000298023224,,1.0,0.67880404,0.5625,0.4676470589988372
2025-11-12,0.47570658,5.0534086,0.68679464,-30.02499771118164,-51.22499084472656,0.0,0.0,0.3499999940395355,,0.0,0.4375,0.375,0.3499999940395355,,1.0,0.47570658,0.5,0.469117646708208
2025-11-13,0.36772883,3.8194785,0.69939333,-30.02499771118164,-51.22499084472656,0.0,0.0,0.33000001311302185,,0.0,0.4375,0.375,0.33000001311302185,,1.0,0.36772883,0.25,0.43852941253606015
2025-11-14,0.46217716,7.51138,1.1474371,-30.02499771118164,-51.22499084472656,0.6000000238418579,2.4000000804662704,0.25999999046325684,,0.0,0.875,0.875,0.25999999046325684,,1.0,0.46217716,0.4375,0.802058822968427
2025-11-15,0.34276497,6.691304,0.9868249,-30.02499771118164,-51.22499084472656,0.20000000298023224,1.2000000178813934,0.1899999976158142,,0.0,0.75,0.8125,0.1899999976158142,,1.0,0.34276497,0.1875,0.7170588233891656
2025-11-16,1.8054338,3.6451526,0.64751667,-30.02499771118164,-51.22499084472656,0.20000000298023224,0.800000011920929,0.25999999046325684,,0.0,0.75,0.625,0.25999999046325684,,1.0,1.8054338,0.8125,0.6844117641448975
